Titolo,Tecnica,Data di completamento,Luogo di conservazione,Link
"Madonna della scala",Stiacciato marmoreo,1491,"Firenze, Casa Buonarroti",https://upload.wikimedia.org/wikipedia/commons/b/b2/Buonarotti-scala.jpg
"Angelo reggicandelabro",Scultura marmorea,1495,"Bologna, San Domenico",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Autori_vari%2C_arca_di_san_domenico%2C_angelo_reggicandelabro_di_michelangelo%2C_1494%2C_01.jpg/500px-Autori_vari%2C_arca_di_san_domenico%2C_angelo_reggicandelabro_di_michelangelo%2C_1494%2C_01.jpg
"Pietà",Scultura marmorea,1499,"Roma, San Pietro in Vaticano",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Michelangelo%27s_Pietà%2C_St_Peter%27s_Basilica_%281498–99%29.jpg/960px-Michelangelo%27s_Pietà%2C_St_Peter%27s_Basilica_%281498–99%29.jpg
"David",Scultura marmorea,1501,"Firenze, Accademia",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Michelangelo%27s_David_-_right_view_2.jpg/500px-Michelangelo%27s_David_-_right_view_2.jpg
"Tondo Doni",Dipinto a tempera grassa su tavola,1507,"Firenze, Uffizi",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Tondo_Doni_2021.jpg/960px-Tondo_Doni_2021.jpg
"Volta della Cappella Sistina",Ciclo di affreschi,1512,"Roma, Palazzi Vaticani",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Cappella_sistina%2C_volta_00.jpg/250px-Cappella_sistina%2C_volta_00.jpg
"Studio per le fortificazioni di Firenze",Disegno a penna,1529,"Firenze, Casa Buonarroti",https://www.casabuonarroti.it/wp-content/uploads/2011/07/fortezza.jpg
"Giudizio Universale",Affresco,1535,"Roma, Palazzi Vaticani, Cappella Sistina",https://upload.wikimedia.org/wikipedia/commons/a/a5/Michelangelo%2C_Giudizio_Universale_02.jpg
"Tomba di Giulio II",Progetto architettonico e scultoreo in marmo,1545,"Roma, San Pietro in Vincoli",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/%27Moses%27_by_Michelangelo_JBU010.jpg/500px-%27Moses%27_by_Michelangelo_JBU010.jpg
"Conversione di San Paolo",Affresco,1545,"Roma, Palazzi Vaticani, Cappella Paolina", https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Michelangelo%2C_paolina%2C_conversione_di_saulo_01.jpg/960px-Michelangelo%2C_paolina%2C_conversione_di_saulo_01.jpg
"Pietà Bandini",Scultura marmorea,1555,"Firenze, Museo dell'Opera del Duomo",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Firenze_-_Museo_Opera_del_Duomo%2C_Pietà_Bandini.jpg/500px-Firenze_-_Museo_Opera_del_Duomo%2C_Pietà_Bandini.jpg